index,path,filename,width,height,aspect,orientation,mean_r,mean_g,mean_b,brightness,saturation,contrast,colorfulness,edge_density,phash,cluster
1,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0001_752c6c60a691.jpg,pin_0001_752c6c60a691.jpg,474,466,1.0172,square-ish,198.522,194.928,186.036,0.7647,0.0765,0.1605,13.6731,0.0463,f871a3b29b919d84,11
2,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0002_12a45ccdeba2.jpg,pin_0002_12a45ccdeba2.jpg,1170,1077,1.0864,square-ish,159.902,137.189,121.443,0.5576,0.266,0.2425,27.9567,0.0919,a583f3dc81c8d879,8
3,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0003_5d12c249a74a.jpg,pin_0003_5d12c249a74a.jpg,1079,805,1.3404,landscape,139.207,135.909,130.085,0.5343,0.0933,0.2492,9.6312,0.0996,e1c3cf454c6307b3,8
4,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0004_4bf7ca91a421.png,pin_0004_4bf7ca91a421.png,2048,2048,1.0,square-ish,199.784,170.537,139.79,0.6893,0.3085,0.1903,45.3694,0.0637,f7331b89cccc0707,2
5,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0005_038273f7524b.jpg,pin_0005_038273f7524b.jpg,1200,675,1.7778,landscape,128.601,162.849,198.301,0.6143,0.3896,0.1984,57.0904,0.1216,93cf5f97c21f4012,8
6,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0006_9a4d1ccf0940.jpg,pin_0006_9a4d1ccf0940.jpg,1179,870,1.3552,landscape,84.775,155.035,97.492,0.4999,0.5006,0.2583,81.7106,0.1347,e1dc9c53c7860f19,10
7,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0007_80e567676b49.jpg,pin_0007_80e567676b49.jpg,915,1251,0.7314,portrait,100.419,137.021,153.234,0.5017,0.4497,0.2556,55.9346,0.1675,ad7bd3e07282891b,6
8,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0008_3bdded5057b4.jpg,pin_0008_3bdded5057b4.jpg,356,356,1.0,square-ish,82.522,79.944,78.006,0.3155,0.0918,0.2023,7.7082,0.0167,c0d46f6a787f90a4,1
9,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0009_950c3f2f4e89.jpg,pin_0009_950c3f2f4e89.jpg,650,433,1.5012,landscape,185.599,176.741,173.744,0.7022,0.0753,0.211,14.6488,0.1004,ade0d28fc33c4f30,3
10,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0010_f45fdb8b5bc2.jpg,pin_0010_f45fdb8b5bc2.jpg,1080,1920,0.5625,portrait,134.289,112.177,90.891,0.4563,0.3457,0.2096,41.9634,0.1494,d1c533084e3dfa3c,9
11,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0011_74a8267a872c.jpg,pin_0011_74a8267a872c.jpg,499,481,1.0374,square-ish,122.263,104.398,91.301,0.4246,0.2559,0.2847,38.042,0.0971,869fb860476ac72b,8
12,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0012_0f0739fe3e73.jpg,pin_0012_0f0739fe3e73.jpg,916,776,1.1804,square-ish,151.509,129.952,136.574,0.5378,0.1691,0.1905,26.1548,0.0197,ee9781486709f2bc,2
13,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0013_e480e83439a0.jpg,pin_0013_e480e83439a0.jpg,1179,743,1.5868,landscape,98.351,109.513,107.416,0.4154,0.2922,0.2451,21.1369,0.1166,c8a89ab21bad6d96,8
14,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0014_1ea1d8629d55.jpg,pin_0014_1ea1d8629d55.jpg,1199,875,1.3703,landscape,58.615,71.483,78.152,0.2682,0.3728,0.2685,47.6687,0.0158,e7d3180c6773929c,1
15,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0015_4e4d87bd2aae.jpg,pin_0015_4e4d87bd2aae.jpg,550,611,0.9002,square-ish,106.353,71.722,71.291,0.3217,0.5222,0.2849,32.5594,0.0441,d833676ccf4c3861,4
16,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0016_f716567fba54.jpg,pin_0016_f716567fba54.jpg,828,825,1.0036,square-ish,126.033,135.101,148.636,0.5251,0.1804,0.2502,15.876,0.0256,d1dcd7bfa3280948,2
17,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0017_45ccb78b98d6.jpg,pin_0017_45ccb78b98d6.jpg,570,720,0.7917,portrait,79.588,62.107,48.307,0.2579,0.4492,0.1931,25.9309,0.1395,c4323fc616cdca72,0
18,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0018_40a31f64b66e.jpg,pin_0018_40a31f64b66e.jpg,1447,1433,1.0098,square-ish,116.705,116.728,116.693,0.4577,0.0009,0.2767,0.3102,0.0437,c9f0bf37858821cb,5
19,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0019_894ea42fa20a.jpg,pin_0019_894ea42fa20a.jpg,474,632,0.75,portrait,111.295,105.662,96.061,0.4167,0.1881,0.2518,21.8319,0.1177,e0959b788767982b,9
20,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0020_c0a6737f37e0.jpg,pin_0020_c0a6737f37e0.jpg,500,375,1.3333,landscape,146.535,146.275,143.717,0.5728,0.12,0.2861,14.7108,0.1359,e626a46493fd1ba1,8
21,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0021_324a9eec7643.jpg,pin_0021_324a9eec7643.jpg,750,514,1.4591,landscape,39.287,37.405,39.519,0.1505,0.2533,0.1715,2.1803,0.1097,c07f18709fc762b8,0
22,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0022_9f700756a5b9.png,pin_0022_9f700756a5b9.png,735,571,1.2872,landscape,160.923,159.78,160.119,0.6281,0.0415,0.247,6.3892,0.0627,951a6a6547dc067b,3
23,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0023_5320386eb27d.jpg,pin_0023_5320386eb27d.jpg,481,487,0.9877,square-ish,103.864,118.03,90.618,0.434,0.3299,0.2772,21.0129,0.0822,9f1465db16a85b26,1
24,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0024_419b3bf7477b.jpg,pin_0024_419b3bf7477b.jpg,564,571,0.9877,square-ish,82.084,113.439,99.182,0.4017,0.5097,0.2234,84.4671,0.098,c9ce323b2ac86ee4,4
25,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0025_a4be828cb925.jpg,pin_0025_a4be828cb925.jpg,690,460,1.5,landscape,87.769,87.769,87.769,0.3442,0.0,0.3307,0.0,0.0572,872f407a9def6094,1
26,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0026_0b7d5939c2cf.jpg,pin_0026_0b7d5939c2cf.jpg,1365,2048,0.6665,portrait,61.539,70.68,62.361,0.2627,0.2885,0.1955,28.1589,0.1498,894fa72d9c351751,9
27,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0027_893ed451b814.jpg,pin_0027_893ed451b814.jpg,510,340,1.5,landscape,141.446,99.754,93.778,0.4374,0.4501,0.3589,67.6632,0.2235,c03b986f7b386a31,6
28,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0028_a45744c80c64.jpg,pin_0028_a45744c80c64.jpg,1920,1080,1.7778,landscape,43.344,18.031,14.303,0.0987,0.4707,0.1577,58.3373,0.1124,93693466f75819d4,0
29,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0029_e8b0c48772e8.jpg,pin_0029_e8b0c48772e8.jpg,75,75,1.0,square-ish,188.44,115.685,100.717,0.5323,0.5045,0.1907,82.4075,0.0585,9f40e5acd463e196,10
30,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0030_03ea429d2ace.jpg,pin_0030_03ea429d2ace.jpg,470,470,1.0,square-ish,194.755,192.711,186.754,0.7558,0.0465,0.1442,5.8873,0.0968,ace634e48fc39c98,11
31,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0031_9cf646ea45e3.jpg,pin_0031_9cf646ea45e3.jpg,720,720,1.0,square-ish,153.451,149.891,158.038,0.5955,0.0575,0.1917,6.5354,0.2494,d9e675a1848e92f4,7
32,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0032_6d43b2defc5e.jpg,pin_0032_6d43b2defc5e.jpg,735,751,0.9787,square-ish,68.025,73.231,60.115,0.2752,0.398,0.2515,15.2255,0.0596,8449c9b2b47d729b,1
33,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0033_930922848937.jpg,pin_0033_930922848937.jpg,736,981,0.7503,portrait,98.371,96.953,96.956,0.3819,0.249,0.3784,23.1345,0.1927,cdbab281df29414e,6
34,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0034_fb06002cbfd2.jpg,pin_0034_fb06002cbfd2.jpg,1492,1390,1.0734,square-ish,136.166,105.993,82.707,0.4406,0.4559,0.2657,57.106,0.0861,b670c337cd0fc123,4
35,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0035_6793e80651f2.jpg,pin_0035_6793e80651f2.jpg,3264,2448,1.3333,landscape,87.039,83.352,76.107,0.328,0.2141,0.2912,17.5925,0.0345,bd88b46aab57264c,1
36,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0036_119f9d49d062.jpg,pin_0036_119f9d49d062.jpg,680,503,1.3519,landscape,142.343,150.216,147.216,0.5784,0.1053,0.1969,10.6404,0.1052,880943261dd9f77e,8
37,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0037_87444213fb30.jpg,pin_0037_87444213fb30.jpg,345,345,1.0,square-ish,190.078,190.267,190.291,0.7459,0.002,0.2534,2.5185,0.208,e766869b292db690,3
38,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0038_f31d0be9082a.jpg,pin_0038_f31d0be9082a.jpg,2048,1423,1.4392,landscape,150.844,145.183,123.422,0.5663,0.1931,0.3099,35.2109,0.1413,bf947c7a94c2c48c,8
39,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0039_c3b73c55674a.jpg,pin_0039_c3b73c55674a.jpg,1024,804,1.2736,landscape,74.858,66.055,52.546,0.2633,0.3657,0.1551,22.244,0.179,8c99317ae362654f,6
40,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0040_1ddd63f4cdef.jpg,pin_0040_1ddd63f4cdef.jpg,517,540,0.9574,square-ish,140.253,143.587,126.573,0.5516,0.3923,0.2167,69.6262,0.0567,8a1df1963b3b1d03,10
41,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0041_fb10bc20c295.jpg,pin_0041_fb10bc20c295.jpg,462,621,0.744,portrait,93.421,85.413,70.077,0.3375,0.3922,0.2468,28.4661,0.0727,9adf9a61354dc80d,9
42,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0042_99aff7b9adaa.jpg,pin_0042_99aff7b9adaa.jpg,236,233,1.0129,square-ish,241.803,240.165,241.281,0.9442,0.0135,0.1566,12.2832,0.0548,ed65c63392969319,11
43,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0043_8cd306b724cc.jpg,pin_0043_8cd306b724cc.jpg,236,337,0.7003,portrait,192.776,179.606,182.061,0.7209,0.1585,0.2474,31.8291,0.1576,b8c907344b37d35a,7
44,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0044_5887630aec71.jpg,pin_0044_5887630aec71.jpg,236,237,0.9958,square-ish,146.367,130.2,110.875,0.5209,0.3297,0.3167,30.3546,0.0481,98e449a6f607b7c2,5
45,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0045_792fc172ba49.jpg,pin_0045_792fc172ba49.jpg,236,236,1.0,square-ish,201.312,190.925,217.277,0.7727,0.2012,0.1483,41.3051,0.0989,ef928ed2761169c4,11
46,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0046_17f637d60943.jpg,pin_0046_17f637d60943.jpg,236,272,0.8676,square-ish,209.453,202.375,182.742,0.7931,0.1968,0.2205,48.8813,0.1372,ad31d3f5c1cb60c2,3
47,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0047_129a340767da.jpg,pin_0047_129a340767da.jpg,236,236,1.0,square-ish,117.606,113.515,115.839,0.4509,0.0974,0.1937,6.8556,0.067,fbc1ed3396b48203,1
48,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0048_f22d9dcf9f07.jpg,pin_0048_f22d9dcf9f07.jpg,2048,1488,1.3763,landscape,107.84,90.232,83.97,0.3717,0.2286,0.1864,28.5793,0.1353,c2cc6ae58d52d699,8
49,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0049_6c538a4c9642.jpg,pin_0049_6c538a4c9642.jpg,617,808,0.7636,portrait,35.264,39.2,45.69,0.1528,0.2816,0.1417,7.3868,0.0677,853f5a409fc037ad,0
50,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0050_6ab7a3b0a6af.jpg,pin_0050_6ab7a3b0a6af.jpg,1600,1562,1.0243,square-ish,242.931,225.754,179.809,0.885,0.2628,0.0915,52.624,0.0211,baf0600fada1e1c7,11
51,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0051_8bb81b5660a1.jpg,pin_0051_8bb81b5660a1.jpg,680,414,1.6425,landscape,155.738,133.531,133.37,0.5496,0.1549,0.1687,17.9638,0.0389,ecc827f750b910bc,8
52,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0052_00f276194085.jpg,pin_0052_00f276194085.jpg,749,663,1.1297,square-ish,162.682,130.663,142.109,0.5551,0.2265,0.1516,29.8958,0.1035,e29826ad765b3f40,2
53,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0053_dcd6e8d34cc0.jpg,pin_0053_dcd6e8d34cc0.jpg,1170,807,1.4498,landscape,219.939,209.015,191.073,0.8245,0.143,0.2249,40.7667,0.0882,be15b98ce8979072,11
54,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0054_390f01a0ded7.jpg,pin_0054_390f01a0ded7.jpg,640,640,1.0,square-ish,171.839,140.098,101.705,0.5695,0.5117,0.2448,67.8604,0.0667,cdd1d6363229a1e6,10
55,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0055_91bd6bbb3489.jpg,pin_0055_91bd6bbb3489.jpg,1429,1451,0.9848,square-ish,213.945,180.15,168.267,0.7407,0.3066,0.1528,56.7667,0.1931,ce3726c91834a6eb,7
56,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0056_cca216c9e8f2.jpg,pin_0056_cca216c9e8f2.jpg,736,552,1.3333,landscape,207.988,199.018,201.404,0.7919,0.0768,0.2317,24.1842,0.1433,ee35914b6434da99,3
57,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0057_18e8c70bb527.jpg,pin_0057_18e8c70bb527.jpg,954,1014,0.9408,square-ish,91.309,91.623,80.543,0.354,0.2112,0.2377,23.2158,0.2785,85b53061b6c6e6b6,6
58,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0058_11f1f505b09f.jpg,pin_0058_11f1f505b09f.jpg,736,736,1.0,square-ish,153.622,124.903,115.437,0.5193,0.3287,0.2658,42.1741,0.1574,e0b15edca3299e52,6
59,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0059_596315317f0c.jpg,pin_0059_596315317f0c.jpg,800,1123,0.7124,portrait,167.511,125.385,74.402,0.5183,0.5581,0.2459,78.7149,0.1474,800f5063772e5edb,10
60,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0060_db180fcaf75e.jpg,pin_0060_db180fcaf75e.jpg,543,398,1.3643,landscape,121.964,115.479,107.329,0.4568,0.2631,0.3104,20.4486,0.1063,90b5397c4c4c6e97,8
61,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0061_b905cafdfe1f.jpg,pin_0061_b905cafdfe1f.jpg,720,405,1.7778,landscape,174.222,152.14,146.154,0.6199,0.1905,0.2165,49.2412,0.1576,a053d5943e6ae98b,8
62,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0062_273c16d7586e.jpg,pin_0062_273c16d7586e.jpg,1206,1198,1.0067,square-ish,148.706,149.501,151.945,0.5863,0.028,0.2513,2.6371,0.1259,c350d73898f6e09d,3
63,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0063_0b7ad9b3ab92.jpg,pin_0063_0b7ad9b3ab92.jpg,736,1313,0.5605,portrait,94.691,94.733,85.885,0.3674,0.2115,0.2767,20.5175,0.1633,bbd5a563a42299e2,9
64,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0064_4ed265e42adb.jpg,pin_0064_4ed265e42adb.jpg,1388,1494,0.929,square-ish,72.132,65.247,55.175,0.2594,0.4781,0.2096,34.1819,0.1448,fd0337a3c0b99aa4,0
65,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0065_d138358c5243.jpg,pin_0065_d138358c5243.jpg,1200,1200,1.0,square-ish,139.26,138.839,148.114,0.5492,0.1032,0.329,10.7902,0.1079,f19e8c38c172ad74,5
66,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0066_ecdca34bbb89.jpg,pin_0066_ecdca34bbb89.jpg,1440,1440,1.0,square-ish,77.23,76.921,76.136,0.3016,0.4291,0.3554,19.1079,0.0367,bef64829f402fd11,1
67,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0067_f3d9e4fe0d48.jpg,pin_0067_f3d9e4fe0d48.jpg,1024,1024,1.0,square-ish,171.273,145.629,137.551,0.5977,0.2289,0.2767,31.3009,0.1227,c8ce2fd89b0b9833,7
68,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0068_22bea8481c5a.jpg,pin_0068_22bea8481c5a.jpg,557,494,1.1275,square-ish,129.541,123.474,121.435,0.4904,0.1103,0.0945,11.0859,0.0133,95e0c05fb85d911f,2
69,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0069_4b32d3fed8cb.png,pin_0069_4b32d3fed8cb.png,1024,1024,1.0,square-ish,206.68,189.653,187.643,0.7628,0.1935,0.1653,34.8532,0.0905,b7e0c519bebc8311,11
70,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0070_bcea02558aa2.jpg,pin_0070_bcea02558aa2.jpg,1440,1440,1.0,square-ish,185.776,183.697,175.85,0.7193,0.079,0.206,16.4438,0.1497,c270fda1105edf86,3
71,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0071_f45184b21101.jpg,pin_0071_f45184b21101.jpg,735,676,1.0873,square-ish,164.419,139.381,132.453,0.5729,0.2309,0.2756,28.881,0.111,c0736ed7028c9f6c,8
72,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0072_4ca977fc7485.jpg,pin_0072_4ca977fc7485.jpg,690,690,1.0,square-ish,191.243,180.666,172.761,0.7173,0.2354,0.1986,38.0133,0.1315,8f37884126f6b999,7
73,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0073_3e3d7311fb5e.jpg,pin_0073_3e3d7311fb5e.jpg,474,355,1.3352,landscape,128.086,85.808,91.139,0.3884,0.3647,0.2772,59.8988,0.1091,fb3fc7048cd21d0c,8
74,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0074_b5bf63ff643e.jpg,pin_0074_b5bf63ff643e.jpg,603,804,0.75,portrait,74.931,68.285,59.693,0.2716,0.2941,0.2588,12.9315,0.0466,9967b99966349869,1
75,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0075_1c176180ce07.jpg,pin_0075_1c176180ce07.jpg,722,800,0.9025,square-ish,112.654,102.493,90.554,0.4085,0.2189,0.1539,52.4004,0.0579,a5bfffda98168080,1
76,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0076_105f28db0e66.jpg,pin_0076_105f28db0e66.jpg,1199,879,1.3641,landscape,127.279,148.302,172.852,0.5679,0.3614,0.2088,51.7284,0.0958,cc3fb1c226f8b164,8
77,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0077_564a22fdead9.jpg,pin_0077_564a22fdead9.jpg,735,490,1.5,landscape,151.345,141.856,136.735,0.565,0.1104,0.2258,23.4361,0.1019,c4b209cf3ad9cccc,8
78,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0078_2c07594dbe6f.jpg,pin_0078_2c07594dbe6f.jpg,736,552,1.3333,landscape,113.065,112.938,104.903,0.4395,0.193,0.213,21.9205,0.2332,ec83b93d7698181d,6
79,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0079_0aaee2de2c52.jpg,pin_0079_0aaee2de2c52.jpg,640,640,1.0,square-ish,170.54,141.449,141.617,0.589,0.2379,0.3286,48.0756,0.1367,e4436f8a80dce87e,7
80,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0080_958e0a0dd478.jpg,pin_0080_958e0a0dd478.jpg,1170,1139,1.0272,square-ish,54.798,54.782,54.781,0.2148,0.0013,0.2362,0.5141,0.0727,c03f1fcc43393b4c,1
81,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0081_78c78605922a.jpg,pin_0081_78c78605922a.jpg,828,607,1.3641,landscape,118.96,116.92,68.96,0.4394,0.4524,0.2483,57.8704,0.0907,85947a63326e6bc3,4
82,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0082_864c419b59bc.jpg,pin_0082_864c419b59bc.jpg,1602,1294,1.238,landscape,169.219,158.787,131.2,0.6226,0.3512,0.3047,49.6933,0.1251,b8f04ecc8d2bd631,8
83,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0083_b1712aa2df3b.jpg,pin_0083_b1712aa2df3b.jpg,736,893,0.8242,square-ish,233.944,222.146,193.461,0.8722,0.1935,0.1874,60.5814,0.0835,eb9e64b0cc349966,11
84,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0084_65c6e3275ae4.jpg,pin_0084_65c6e3275ae4.jpg,736,458,1.607,landscape,159.736,170.026,171.136,0.6552,0.1323,0.2121,25.0493,0.1472,f271ccbe304be720,8
85,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0085_3d8d80905326.jpg,pin_0085_3d8d80905326.jpg,572,656,0.872,square-ish,132.605,137.564,102.326,0.5178,0.4216,0.3339,84.4091,0.1023,cc0c53f0f3232cd7,10
86,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0086_287fad0a7ef2.png,pin_0086_287fad0a7ef2.png,500,376,1.3298,landscape,96.622,126.551,123.24,0.4597,0.3558,0.2452,43.7008,0.2112,c9e9a4163287eda6,6
87,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0087_a2383fe9588e.jpg,pin_0087_a2383fe9588e.jpg,1080,703,1.5363,landscape,104.442,118.716,121.643,0.4501,0.2958,0.2492,18.0475,0.1195,f5c7426c91622bad,8
88,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0088_bb8593267421.jpg,pin_0088_bb8593267421.jpg,1200,751,1.5979,landscape,84.103,80.882,70.507,0.3163,0.2073,0.1683,16.4704,0.0835,c73f583c8023957d,1
89,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0089_387a780d9197.jpg,pin_0089_387a780d9197.jpg,1027,1013,1.0138,square-ish,154.72,144.678,120.345,0.5683,0.257,0.2968,39.2756,0.1928,f85a85e57c7a0e22,6
90,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0090_a8c65da40950.jpg,pin_0090_a8c65da40950.jpg,1179,1139,1.0351,square-ish,168.234,163.56,159.922,0.6452,0.0801,0.2913,17.8712,0.1075,adb819a1d88fcc27,3
91,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0091_45c59843b3d3.jpg,pin_0091_45c59843b3d3.jpg,1024,1002,1.022,square-ish,87.585,84.716,79.42,0.3332,0.2028,0.231,13.4884,0.0737,c669c396672e5836,1
92,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0092_1776ceb36da0.jpg,pin_0092_1776ceb36da0.jpg,736,738,0.9973,square-ish,225.829,224.359,219.814,0.8795,0.0449,0.1668,13.9207,0.0707,b838b137c7c6cb88,11
93,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0093_36b302a76641.jpg,pin_0093_36b302a76641.jpg,1440,1440,1.0,square-ish,148.029,169.251,179.952,0.6436,0.172,0.1668,37.7435,0.0672,a43c383dcd0bd9d2,2
94,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0094_178ad418bbba.jpg,pin_0094_178ad418bbba.jpg,400,517,0.7737,portrait,142.816,133.711,120.957,0.5293,0.2178,0.2369,25.5728,0.145,bb914cb046e3997c,7
95,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0095_6f3ae404eda7.png,pin_0095_6f3ae404eda7.png,1269,952,1.333,landscape,126.386,126.644,118.505,0.4927,0.1084,0.168,13.1679,0.0414,d272e5167661a18f,8
96,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0096_6d9f31787635.jpg,pin_0096_6d9f31787635.jpg,750,586,1.2799,landscape,121.234,124.768,118.08,0.4822,0.1182,0.3107,9.9139,0.0762,abe0979cd41bd81a,5
97,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0097_17ec44182312.jpg,pin_0097_17ec44182312.jpg,256,256,1.0,square-ish,128.023,113.354,98.936,0.4553,0.2419,0.1259,19.4005,0.0298,d23c5bc4303f235b,2
98,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0098_5be69a2781e0.jpg,pin_0098_5be69a2781e0.jpg,736,736,1.0,square-ish,88.237,84.092,78.843,0.3323,0.0931,0.3419,20.2405,0.0701,9a15ec8af0af262b,5
99,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0099_a3f8c17611c7.jpg,pin_0099_a3f8c17611c7.jpg,736,724,1.0166,square-ish,111.11,77.541,48.513,0.3305,0.64,0.1953,63.4942,0.0933,dcee6e9462436c52,4
100,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0100_d521f3fd5a24.jpg,pin_0100_d521f3fd5a24.jpg,1461,1419,1.0296,square-ish,122.713,157.436,209.827,0.6001,0.4759,0.2323,91.8666,0.037,85c5494713676f3c,10
101,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0101_5dfd8a2456a5.jpg,pin_0101_5dfd8a2456a5.jpg,360,270,1.3333,landscape,232.207,216.745,201.153,0.8611,0.1663,0.217,58.5256,0.0477,bcb5c3c14d3e3438,11
102,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0102_501d9206370b.jpg,pin_0102_501d9206370b.jpg,798,531,1.5028,landscape,168.208,144.71,102.173,0.5761,0.4865,0.1881,56.6585,0.1221,bf68c6c08cc0ecdb,10
103,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0103_e52fa7f1c958.gif,pin_0103_e52fa7f1c958.gif,200,200,1.0,square-ish,144.547,149.44,172.801,0.5908,0.2656,0.2405,38.8946,0.1054,96159f53621c9c37,2
