index,path,filename,width,height,aspect,orientation,mean_r,mean_g,mean_b,brightness,saturation,contrast,colorfulness,edge_density,phash,cluster
391,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0391_29adc09a24ab.jpg,pin_0391_29adc09a24ab.jpg,828,833,0.994,square-ish,90.19,90.19,90.19,0.3537,0.0,0.2571,0.0,0.1604,e161941f349f2dc3,1
392,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0392_413c06d36be4.jpg,pin_0392_413c06d36be4.jpg,720,713,1.0098,square-ish,75.193,75.441,75.787,0.2957,0.0825,0.2089,7.2782,0.0482,8fea6191c8ceb64c,1
393,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0393_284f8dad6707.jpg,pin_0393_284f8dad6707.jpg,1121,1200,0.9342,square-ish,88.871,102.971,75.986,0.3752,0.39,0.219,29.3276,0.0936,839ce0e3bce5930d,1
394,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0394_5700d8bbc847.jpg,pin_0394_5700d8bbc847.jpg,1170,818,1.4303,landscape,110.629,118.397,86.729,0.441,0.3445,0.2559,40.2262,0.2655,d0968ea6257bbca1,6
395,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0395_069478e841c7.jpg,pin_0395_069478e841c7.jpg,876,1317,0.6651,portrait,230.611,227.133,227.172,0.8948,0.0233,0.2398,14.1195,0.0603,f326cd8c32ccc669,11
396,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0396_892f25c806f0.jpg,pin_0396_892f25c806f0.jpg,720,659,1.0926,square-ish,128.497,116.756,111.184,0.4691,0.1709,0.199,22.9423,0.0351,aa84153abf7c2e43,1
397,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0397_64cc5837320d.jpg,pin_0397_64cc5837320d.jpg,2048,2039,1.0044,square-ish,141.843,142.676,145.222,0.5596,0.0889,0.2363,18.0987,0.1204,d03d6f4f7242c692,7
398,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0398_ebb6f8c53744.jpg,pin_0398_ebb6f8c53744.jpg,500,647,0.7728,portrait,226.256,202.374,202.749,0.8218,0.1392,0.164,31.0889,0.0774,bc3c9c9c98d92363,11
399,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0399_706f62030f17.jpg,pin_0399_706f62030f17.jpg,1179,891,1.3232,landscape,158.618,136.123,108.043,0.5476,0.3797,0.2802,48.4821,0.1702,fe44a393936a25f0,6
400,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0400_5aabac84edd0.jpg,pin_0400_5aabac84edd0.jpg,1142,1815,0.6292,portrait,232.849,236.199,243.111,0.9254,0.0567,0.1606,25.7006,0.0985,ee2b5229532b523b,11
401,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0401_a11e8329de40.jpg,pin_0401_a11e8329de40.jpg,256,256,1.0,square-ish,81.893,78.792,75.932,0.3117,0.0975,0.1922,13.2924,0.0444,9a3a654dcd389c33,1
402,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0402_dee2b9903692.jpg,pin_0402_dee2b9903692.jpg,256,256,1.0,square-ish,107.724,96.139,82.639,0.3846,0.2842,0.1623,14.5338,0.054,c09f0e7c3f623c61,1
403,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0403_4fa5c412978c.jpg,pin_0403_4fa5c412978c.jpg,654,626,1.0447,square-ish,133.072,129.095,121.918,0.5078,0.2049,0.2455,24.3866,0.0915,beef61c18c60c43e,8
404,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0404_8c0c1d6c3fae.jpg,pin_0404_8c0c1d6c3fae.jpg,1078,1186,0.9089,square-ish,125.655,142.416,148.513,0.5415,0.3004,0.264,35.5418,0.1382,aec5d89aa72c3a83,7
405,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0405_01e9fe41e00c.jpg,pin_0405_01e9fe41e00c.jpg,960,1280,0.75,portrait,54.922,51.984,45.678,0.2045,0.3012,0.1577,25.3413,0.0697,bac943a7aa703137,0
406,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0406_6ac21d6609a5.jpg,pin_0406_6ac21d6609a5.jpg,987,960,1.0281,square-ish,189.18,155.672,150.832,0.6475,0.2923,0.2306,62.8226,0.1493,f0ceb92191e54e39,10
407,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0407_ceaf106291c4.jpg,pin_0407_ceaf106291c4.jpg,960,1359,0.7064,portrait,75.346,66.065,74.137,0.2736,0.4138,0.2341,33.526,0.0875,9a6c2373d0ceb199,9
